position,guid,name,steamid
882,FF011000013E0946A4,Pianola722,76561199001061028
883,FF01100001481931CA,JrAndrade284,76561199169876426
883,FF011000014201E9B9,Blakely | Privateer,76561199067687353
884,FF0110000106673316,Drewy | Blazed Mx,76561198067692310
884,FF011000013D7A8BA1,Ballr,76561198991707041
885,FF011000010303A177,Harry Potters daughters,76561198010835319
885,FF0110000111D70858,Ruben Galvez | JG Visuals x Tow,76561198259570776
886,FF0110000132184DA5,AOR_1 | TFH Racecraft,76561198800719269
886,FF01100001171A9508,CpTxRogue | Slow Dad,76561198347883784
887,FF01100001093EC317,Costco Samples,76561198115373847
888,FF011000010682D169,Yotaak,76561198069502313
889,FF0110000106EC3E7F,F1XME,76561198076411519
890,FF0110000133F0C972,moto.films.1 on tt,76561198831683954
891,FF0110000144BF4C1A,bigE,76561199113653274
892,FF0110000136ABCB35,bolt woods,76561198877494069
893,FF011000013F2E9C27,Cyborg,76561199020284967
893,FF0110000147A40A7F,Downer,76561199162198655
894,FF011000013DE675A8,Beanhead,76561198998779304
895,FF011000011C6BEB89,Rickey,76561198437100425
896,FF0110000132064366,bring back old recoil:},76561198799536998
897,FF011000010696CA6B,Keyboard K-Dub,76561198070811243
897,FF011000013D14C3ED,Zunkr,76561198985036781
972,FF0110000140A8FD9C,Zweedyk| Team Cheapy,76561199045082524
973,FF0110000114AD6806,LOVATO,76561198307174406
974,FF0110000139046D80,Lil Chungus,76561198916857216
975,FF011000011440A027,Mason | 12,76561198300045351
975,FF011000010A7E2322,JBriggs | Ex Crew | Waxed,76561198136304418
976,FF011000010704EE3E,Woadie | AEO x FXR,76561198078029374
976,FF01100001177A848B,TALON | Team Hawaii,76561198354171019
977,FF01100001053165FB,Scooter,76561198047389179
978,FF0110000143662450,Spida l GFRE,76561199091033168
978,FF0110000107991A3F,DYNiiRY | APEX RACING TEAM,76561198087739967
979,FF011000013BCD5E74,Grub'n Go,76561198963580532
980,FF01100001419ED02D,Gubby | Sprocket Racing,76561199061192749
980,FF0110000101138460,Stevo-758,76561197978322016
981,FF0110000105A31781,JURISTS,76561198054840193
981,FF01100001368BE7A3,MUTE,76561198875404195
983,FF011000013CB44B7D,the316prodigy,76561198978714493
984,FF0110000145644597,Splashy,76561199124465047
984,FF01100001026CC4C4,Guujiya,76561198000948420
985,FF0110000115B990F6,Jules l MotoBoys,76561198324748534
986,FF011000014BAB52B1,seven,76561199229784753
986,FF0110000139C17C55,dbk.Deezy,76561198929247317
987,FF011000014579D9C8,Shell,76561199125879240
988,FF011000010AA191D5,boob,76561198138626517
988,FF011000013E3BB039,motocross4life3,76561199004364857
989,FF01100001465783A6,BigDaddy,76561199140406182
989,FF01100001097CDC59,Diggles,76561198119443545
990,FF011000013D920628,IanMX | HSM,76561198993245736
990,FF011000014772C36A,[GODSENT] astro,76561199158969194
991,FF011000013CABEE3A,Adam,76561198978166330
992,FF0110000108A18F82,Jake DaSnak,76561198105071490
993,FF011000011218CCDA,Austin Iboshi \ SlickProducts,76561198263880922
994,FF011000013EC540A2,Mookie stewart,76561199013380258
995,FF011000010A0535A5,I Roll Triples,76561198128379301
996,FF011000013A6CF4BB,Nibbles | Only Scrubs MS,76561198940484795
996,FF0110000116FE9F95,Kruegs | SLPRZ x SRMX,76561198346051477
997,FF011000013EE9EA7E,Matz Oscar,76561199015783038
997,FF01100001412E3F94,Heckzz,76561199053815700
998,FF01100001462ECEA9,8o8 Trevor,76561199137738409
999,FF011000010096F608,Sucky Sucky,76561197970159112
999,FF011000011315D967,JanxXxer,76561198280464743
1000,FF01100001005ED187,PotHat???,76561197966479751
1000,FF011000014695990F,Mauritz 9 | Viking Hawk Racing,76561199144474895
1001,FF011000014A9AA5D3,FED | GGS,76561199211914707
